iter	Passed	Remaining
0	0	300
1	0	260
2	0	270
3	1	253
4	1	245
5	1	248
6	1	253
7	1	247
8	2	241
9	2	236
10	2	232
11	2	229
12	2	227
13	3	225
14	3	223
15	3	221
16	3	220
17	4	218
18	4	217
19	4	216
20	4	217
21	4	217
22	5	216
23	5	214
24	5	214
25	5	213
26	5	213
27	6	213
28	6	212
29	6	211
30	6	210
31	6	210
32	7	209
33	7	209
34	7	208
35	7	207
36	7	206
37	8	206
38	8	205
39	8	204
40	8	204
41	8	204
42	9	204
43	9	203
44	9	203
45	9	203
46	10	204
47	10	203
48	10	202
49	10	202
50	10	202
51	11	201
52	11	201
53	11	200
54	11	200
55	11	199
56	12	199
57	12	198
58	12	198
59	12	198
60	12	197
61	13	197
62	13	197
63	13	196
64	13	195
65	13	195
66	14	195
67	14	195
68	14	194
69	14	194
70	14	193
71	15	193
72	15	193
73	15	192
74	15	192
75	15	191
76	15	191
77	16	191
78	16	191
79	16	190
80	16	190
81	17	190
82	17	189
83	17	189
84	17	189
85	17	189
86	18	190
87	18	190
88	18	190
89	18	190
90	18	189
91	19	189
92	19	188
93	19	188
94	19	188
95	19	188
96	20	187
97	20	187
98	20	187
99	20	187
100	20	186
101	21	186
102	21	186
103	21	186
104	21	186
105	22	185
106	22	185
107	22	185
108	22	184
109	22	184
110	22	184
111	23	184
112	23	183
113	23	183
114	23	183
115	24	183
116	24	182
117	24	181
118	24	181
119	24	181
120	24	181
121	25	180
122	25	180
123	25	180
124	25	180
125	26	180
126	26	179
127	26	179
128	26	179
129	26	179
130	26	178
131	27	178
132	27	178
133	27	178
134	27	177
135	27	177
136	28	177
137	28	177
138	28	177
139	28	176
140	29	176
141	29	175
142	29	175
143	29	175
144	29	174
145	29	174
146	30	174
147	30	174
148	30	173
149	30	173
150	30	173
151	31	173
152	31	172
153	31	172
154	31	172
155	31	172
156	32	172
157	32	172
158	32	172
159	32	172
160	32	171
161	33	171
162	33	171
163	33	171
164	33	171
165	34	171
166	34	171
167	34	170
168	34	170
169	34	170
170	35	170
171	35	169
172	35	169
173	35	169
174	35	169
175	36	169
176	36	169
177	36	169
178	36	168
179	37	168
180	37	168
181	37	168
182	37	167
183	37	167
184	37	167
185	38	166
186	38	166
187	38	166
188	38	166
189	38	165
190	39	165
191	39	165
192	39	165
193	39	164
194	39	164
195	40	164
196	40	164
197	40	164
198	40	164
199	40	163
200	41	163
201	41	163
202	41	163
203	41	163
204	42	162
205	42	162
206	42	162
207	42	162
208	42	162
209	43	162
210	43	161
211	43	161
212	43	161
213	43	161
214	44	161
215	44	160
216	44	160
217	44	160
218	44	160
219	45	159
220	45	159
221	45	159
222	45	159
223	45	158
224	46	158
225	46	158
226	46	158
227	46	157
228	46	157
229	47	157
230	47	157
231	47	156
232	47	156
233	47	156
234	47	156
235	48	155
236	48	155
237	48	155
238	48	155
239	49	155
240	49	155
241	49	154
242	49	154
243	49	154
244	50	154
245	50	154
246	50	153
247	50	153
248	50	153
249	51	153
250	51	152
251	51	152
252	51	152
253	51	152
254	52	151
255	52	151
256	52	151
257	52	151
258	52	151
259	52	150
260	53	150
261	53	150
262	53	150
263	53	149
264	53	149
265	54	149
266	54	149
267	54	149
268	54	148
269	54	148
270	55	148
271	55	148
272	55	147
273	55	147
274	55	147
275	56	147
276	56	147
277	56	146
278	56	146
279	56	146
280	57	146
281	57	146
282	57	145
283	57	145
284	58	145
285	58	145
286	58	145
287	58	145
288	58	144
289	59	144
290	59	144
291	59	144
292	59	144
293	60	144
294	60	143
295	60	143
296	60	143
297	60	143
298	61	143
299	61	142
300	61	142
301	61	142
302	61	142
303	61	141
304	62	141
305	62	141
306	62	141
307	62	140
308	62	140
309	63	140
310	63	140
311	63	140
312	63	139
313	64	139
314	64	139
315	64	139
316	64	139
317	64	139
318	65	139
319	65	139
320	65	138
321	65	138
322	65	138
323	66	138
324	66	137
325	66	137
326	66	137
327	66	137
328	67	137
329	67	136
330	67	136
331	67	136
332	67	136
333	68	135
334	68	135
335	68	135
336	68	135
337	68	135
338	69	134
339	69	134
340	69	134
341	69	134
342	69	134
343	70	133
344	70	133
345	70	133
346	70	133
347	71	133
348	71	132
349	71	132
350	71	132
351	71	132
352	71	131
353	72	131
354	72	131
355	72	131
356	72	130
357	72	130
358	73	130
359	73	130
360	73	130
361	73	129
362	73	129
363	74	129
364	74	129
365	74	129
366	74	128
367	74	128
368	75	128
369	75	128
370	75	128
371	75	127
372	75	127
373	76	127
374	76	127
375	76	126
376	76	126
377	76	126
378	77	126
379	77	126
380	77	125
381	77	125
382	77	125
383	78	125
384	78	125
385	78	124
386	78	124
387	78	124
388	79	124
389	79	124
390	79	123
391	79	123
392	79	123
393	80	123
394	80	123
395	80	122
396	80	122
397	81	122
398	81	122
399	81	122
400	81	121
401	81	121
402	81	121
403	82	121
404	82	121
405	82	120
406	82	120
407	82	120
408	83	120
409	83	119
410	83	119
411	83	119
412	83	119
413	84	119
414	84	118
415	84	118
416	84	118
417	84	118
418	85	117
419	85	117
420	85	117
421	85	117
422	85	117
423	86	116
424	86	116
425	86	116
426	86	116
427	86	115
428	86	115
429	87	115
430	87	115
431	87	115
432	87	114
433	87	114
434	88	114
435	88	114
436	88	114
437	88	114
438	89	113
439	89	113
440	89	113
441	89	113
442	89	113
443	90	112
444	90	112
445	90	112
446	90	112
447	90	111
448	91	111
449	91	111
450	91	111
451	91	111
452	91	110
453	92	110
454	92	110
455	92	110
456	92	110
457	92	109
458	93	109
459	93	109
460	93	109
461	93	109
462	93	108
463	94	108
464	94	108
465	94	108
466	94	107
467	94	107
468	95	107
469	95	107
470	95	107
471	95	106
472	95	106
473	96	106
474	96	106
475	96	106
476	96	105
477	96	105
478	96	105
479	97	105
480	97	105
481	97	104
482	97	104
483	97	104
484	98	104
485	98	103
486	98	103
487	98	103
488	98	103
489	99	103
490	99	102
491	99	102
492	99	102
493	99	102
494	100	102
495	100	101
496	100	101
497	100	101
498	100	101
499	101	101
500	101	100
501	101	100
502	101	100
503	101	100
504	102	100
505	102	99
506	102	99
507	102	99
508	102	99
509	102	98
510	103	98
511	103	98
512	103	98
513	103	98
514	103	97
515	104	97
516	104	97
517	104	97
518	104	97
519	104	96
520	105	96
521	105	96
522	105	96
523	105	96
524	105	95
525	106	95
526	106	95
527	106	95
528	106	95
529	106	94
530	107	94
531	107	94
532	107	94
533	107	93
534	107	93
535	108	93
536	108	93
537	108	93
538	108	92
539	108	92
540	109	92
541	109	92
542	109	92
543	109	91
544	109	91
545	109	91
546	110	91
547	110	91
548	110	90
549	110	90
550	110	90
551	111	90
552	111	89
553	111	89
554	111	89
555	111	89
556	112	89
557	112	88
558	112	88
559	112	88
560	112	88
561	113	88
562	113	87
563	113	87
564	113	87
565	113	87
566	114	87
567	114	86
568	114	86
569	114	86
570	114	86
571	115	86
572	115	85
573	115	85
574	115	85
575	115	85
576	115	85
577	116	84
578	116	84
579	116	84
580	116	84
581	116	84
582	117	83
583	117	83
584	117	83
585	117	83
586	117	82
587	118	82
588	118	82
589	118	82
590	118	82
591	118	81
592	119	81
593	119	81
594	119	81
595	119	81
596	119	80
597	119	80
598	120	80
599	120	80
600	120	80
601	120	79
602	121	79
603	121	79
604	121	79
605	121	79
606	121	78
607	122	78
608	122	78
609	122	78
610	122	78
611	122	77
612	122	77
613	123	77
614	123	77
615	123	77
616	123	76
617	123	76
618	124	76
619	124	76
620	124	76
621	124	75
622	124	75
623	125	75
624	125	75
625	125	75
626	125	74
627	125	74
628	126	74
629	126	74
